engine,scenario,minute,thermal_load_input,degradation_input,thermal_load_high,primary_cooling_degraded,backup_reserve_stressed,power_constraint,process_thermal_risk,alarm_interpreted,authorization_ready,intervention_executed,physical_risk_probability_exact,decision_response_probability_exact,uncontained_risk_probability_exact,contained_or_avoided_probability_exact,measurement_shots,physical_risk_probability_sampled,decision_response_probability_sampled,uncontained_risk_probability_sampled,contained_or_avoided_probability_sampled,trace
Qiskit DensityMatrix,Sensor-only,50,1.0,1.0,0.3888006122991198,0.16466823227011348,0.08487205800718414,0.016274957271637937,0.026670175659343074,0.08343981148695763,0.0019999999999999983,0.0009999999999999996,0.026670175659343074,0.0009999999999999996,0.02664350548368373,0.0009733298243406565,8192,0.026123046875,0.0009765625,0.026123046875,0.0009765625,0.9999999999999997
Qiskit DensityMatrix,Sensor-only,51,1.0,1.0,0.4025281889692383,0.17252903068533365,0.08937315282186989,0.016626700763504327,0.027915787667509587,0.08978268635186659,0.001999999999999998,0.0009999999999999994,0.027915787667509587,0.0009999999999999994,0.027887871879842072,0.0009720842123324898,8192,0.02783203125,0.001708984375,0.0277099609375,0.0015869140625,0.9999999999999996
Qiskit DensityMatrix,Sensor-only,52,1.0,1.0,0.4162868332979789,0.18045090303831984,0.09400725101862423,0.016992625647591977,0.029218518961368647,0.0962958148742415,0.0019999999999999996,0.000999999999999998,0.029218518961368647,0.000999999999999998,0.029189300442407272,0.0009707814810386305,8192,0.030029296875,0.000732421875,0.030029296875,0.000732421875,0.9999999999999994
Qiskit DensityMatrix,Sensor-only,53,1.0,1.0,0.43006296597632454,0.18842406539267784,0.09876948096898244,0.01737292922468569,0.030579542450555067,0.10296054155410819,0.001999999999999997,0.000999999999999998,0.030579542450555067,0.000999999999999998,0.030548962908104514,0.0009694204575494436,8192,0.027587890625,0.000732421875,0.027587890625,0.000732421875,0.9999999999999994
Qiskit DensityMatrix,Sensor-only,54,1.0,1.0,0.4438430280294691,0.19643883527826891,0.10365454973593372,0.01776780797852883,0.03199991894471639,0.10975762896794009,0.001999999999999999,0.000999999999999999,0.03199991894471639,0.000999999999999999,0.031967919025771646,0.0009680000810552826,8192,0.0301513671875,0.0006103515625,0.0301513671875,0.0006103515625,0.9999999999999994
Qiskit DensityMatrix,Sensor-only,55,1.0,1.0,0.45761349489391634,0.20448564285887583,0.10865676608468089,0.018177460891478918,0.033480591028757736,0.11666745819995869,0.001999999999999998,0.0009999999999999985,0.033480591028757736,0.0009999999999999985,0.03344711043772897,0.0009665194089712405,8192,0.0345458984375,0.001953125,0.034423828125,0.0018310546875,0.9999999999999992
Qiskit DensityMatrix,Sensor-only,56,1.0,1.0,0.47136089037657514,0.21255504138082573,0.11377006616487939,0.018602092821963054,0.035022377895284736,0.12367022430084829,0.0019999999999999974,0.000999999999999998,0.035022377895284736,0.000999999999999998,0.03498735551738945,0.0009649776221047144,8192,0.0341796875,0.0013427734375,0.0341796875,0.0013427734375,0.9999999999999993
Qiskit DensityMatrix,Sensor-only,57,1.0,1.0,0.48507180048033094,0.2206377169187839,0.11898804174693425,0.019041917869529378,0.03662597120068489,0.13074612322821183,0.002,0.0009999999999999983,0.03662597120068489,0.0009999999999999983,0.036589345229484205,0.0009633740287993135,8192,0.0379638671875,0.0008544921875,0.0379638671875,0.0008544921875,0.9999999999999989
Qiskit DensityMatrix,Sensor-only,58,1.0,1.0,0.49873288708088104,0.22872449743731066,0.12430397086961038,0.019497162650814588,0.03829193200045275,0.13787552709356554,0.0019999999999999983,0.0009999999999999998,0.03829193200045275,0.0009999999999999998,0.03825364006845228,0.0009617080679995462,8192,0.0389404296875,0.001220703125,0.038818359375,0.0010986328125,0.999999999999999
Qiskit DensityMatrix,Sensor-only,59,1.0,1.0,0.5123309014399534,0.23680636118897927,0.12971085073078123,0.01996806940870467,0.04002068880756945,0.14503914499517145,0.0019999999999999966,0.000999999999999998,0.04002068880756945,0.000999999999999998,0.03998066811876189,0.0009599793111924293,8192,0.037841796875,0.000732421875,0.0377197265625,0.0006103515625,0.9999999999999988
Qiskit DensityMatrix,Sensor-only,60,1.0,1.0,0.5258526975403994,0.24487444447185133,0.13520143262791948,0.02045489887743047,0.041812536805137385,0.1522181672387566,0.0019999999999999983,0.0009999999999999994,0.041812536805137385,0.0009999999999999994,0.04177072426833224,0.0009581874631948604,8192,0.0411376953125,0.000732421875,0.0411376953125,0.000732421875,0.9999999999999989
Qiskit DensityMatrix,Sensor-only,61,1.0,1.0,0.5392852452289907,0.2529200487709382,0.1407682587302222,0.020957932828355157,0.043667638231213564,0.1593943913209783,0.001999999999999996,0.000999999999999998,0.043667638231213564,0.000999999999999998,0.04362397059298234,0.0009563323617687845,8192,0.0439453125,0.0006103515625,0.0439453125,0.0006103515625,0.999999999999999
Qiskit DensityMatrix,Sensor-only,62,1.0,1.0,0.5526156431531573,0.26093464730988136,0.14640370044037562,0.02147747622479153,0.04558602394005397,0.166550328653307,0.0019999999999999966,0.000999999999999999,0.04558602394005397,0.000999999999999999,0.04554043791611393,0.0009544139760599441,8192,0.045654296875,0.0010986328125,0.045654296875,0.0010986328125,0.999999999999999
Qiskit DensityMatrix,Sensor-only,63,1.0,1.0,0.5658311314782996,0.268909891040545,0.15209999808128233,0.02201385891931617,0.0475675961299653,0.17366929161579994,0.0019999999999999966,0.000999999999999998,0.0475675961299653,0.000999999999999998,0.04752002853383534,0.0009524324038700326,8192,0.0479736328125,0.001220703125,0.0479736328125,0.001220703125,0.999999999999999
Qiskit DensityMatrix,Sensor-only,64,1.0,1.0,0.5789191043727069,0.27683761409941,0.15784930162186137,0.02256743683367799,0.04961213221385842,0.18073546112966868,0.0019999999999999957,0.0009999999999999979,0.04961213221385842,0.0009999999999999979,0.04956252008164456,0.0009503878677861394,8192,0.0504150390625,0.0008544921875,0.0501708984375,0.0006103515625,0.9999999999999988
Qiskit DensityMatrix,Sensor-only,65,1.0,1.0,0.5918671222475669,0.2847098387607125,0.16364371213672893,0.023138592569445435,0.051719289794611385,0.1877339355039039,0.001999999999999996,0.0009999999999999976,0.051719289794611385,0.0009999999999999976,0.05166757050481677,0.0009482807102053861,8192,0.0545654296875,0.000244140625,0.054443359375,0.0001220703125,0.9999999999999988
Qiskit DensityMatrix,Sensor-only,66,1.0,1.0,0.6046629237399549,0.2925187799170397,0.16947532367744533,0.023727735406893168,0.05388861269368059,0.19465076182513041,0.0019999999999999957,0.0009999999999999979,0.05388861269368059,0.0009999999999999979,0.05383472408098692,0.0009461113873063169,8192,0.0528564453125,0.0008544921875,0.0528564453125,0.0008544921875,0.9999999999999983
Qiskit DensityMatrix,Sensor-only,67,1.0,1.0,0.6172944374272142,0.30025684911869127,0.17533626521843332,0.024335300660144506,0.056119537968250775,0.20147295160410286,0.001999999999999997,0.000999999999999999,0.056119537968250775,0.000999999999999999,0.05606341843028252,0.000943880462031747,8192,0.05615234375,0.000732421875,0.05615234375,0.000732421875,0.9999999999999986
Qiskit DensityMatrix,Sensor-only,68,1.0,1.0,0.6297497932615229,0.30791665820342984,0.1812187423289916,0.02496174836809772,0.05841140383978387,0.20818848275243745,0.001999999999999997,0.0009999999999999972,0.05841140383978387,0.0009999999999999972,0.0583529924359441,0.0009415885961602137,8192,0.0548095703125,0.0015869140625,0.0548095703125,0.0015869140625,0.9999999999999986
Qiskit DensityMatrix,Sensor-only,69,1.0,1.0,0.6420173337139933,0.3154910225483397,0.1871150782142967,0.02560756131296691,0.06076345844529902,0.21478629022828116,0.0019999999999999953,0.0009999999999999966,0.06076345844529902,0.0009999999999999966,0.060702694986853704,0.0009392365415546985,8192,0.0609130859375,0.001220703125,0.0609130859375,0.001220703125,0.9999999999999981
