engine,scenario,minute,thermal_load_input,degradation_input,thermal_load_high,primary_cooling_degraded,backup_reserve_stressed,power_constraint,process_thermal_risk,alarm_interpreted,authorization_ready,intervention_executed,physical_risk_probability,decision_response_probability,uncontained_risk_probability,contained_or_avoided_probability,trace
NumPy density matrix,Sensor-only,26,1.0,0.55,0.10291618095069018,0.026388058953310443,0.020932527610407047,0.011367843560475465,0.009766541913070057,0.005692200945044149,0.0020000000000000005,0.0009999999999999998,0.009766541913070057,0.0009999999999999998,0.00975677537115699,0.0009902334580869298,1.0
NumPy density matrix,Sensor-only,27,1.0,0.6,0.11202224872294021,0.028772716954886493,0.022054406003708938,0.011469736447092344,0.01012619731355535,0.006251158907831378,0.002000000000000001,0.000999999999999999,0.01012619731355535,0.000999999999999999,0.010116071116241803,0.0009898738026864447,1.0000000000000004
NumPy density matrix,Sensor-only,28,1.0,0.65,0.12145435453277716,0.03146211630409239,0.023277769820325003,0.011577663310448502,0.010505007337127973,0.0069685637009789456,0.0020000000000000018,0.0009999999999999994,0.010505007337127973,0.0009999999999999994,0.010494502329790842,0.0009894949926628714,1.0
NumPy density matrix,Sensor-only,29,1.0,0.7,0.1312026664484983,0.03447933099717512,0.024608563037372473,0.011691992065128599,0.010904096693132647,0.007857390608169673,0.0019999999999999987,0.001,0.010904096693132647,0.001,0.010893192596439507,0.000989095903306868,1.0
NumPy density matrix,Sensor-only,30,1.0,0.75,0.14125704363379446,0.03784860198133273,0.02605274651091723,0.011813105436281434,0.011324672088887131,0.008930990313603535,0.0020000000000000026,0.0009999999999999985,0.011324672088887131,0.0009999999999999985,0.011313347416798243,0.000988675327911112,0.9999999999999998
NumPy density matrix,Sensor-only,31,1.0,0.8,0.1516070481255375,0.04159522167072345,0.027616276508132965,0.011941399301233903,0.011768022693775054,0.0102030176301141,0.0020000000000000005,0.0010000000000000005,0.011768022693775054,0.0010000000000000005,0.011756254671081275,0.0009882319773062247,1.0
NumPy density matrix,Sensor-only,32,1.0,0.85,0.1622419569077883,0.04574540272543049,0.029305083382074375,0.012077280850086861,0.012235519944408805,0.01168735687874919,0.0020000000000000013,0.0009999999999999996,0.012235519944408805,0.0009999999999999996,0.012223284424464399,0.000987764480055591,0.9999999999999998
NumPy density matrix,Sensor-only,33,1.0,0.9,0.1731507742654083,0.05032612991285243,0.0311250504180746,0.012221166593060249,0.012728616644293705,0.01339804472678653,0.0020000000000000018,0.0009999999999999983,0.012728616644293705,0.0009999999999999983,0.012715888027649409,0.0009872713833557055,0.9999999999999999
NumPy density matrix,Sensor-only,34,1.0,0.95,0.18432224440035586,0.05536499388693073,0.03308199287841922,0.012373480247648306,0.013248845316738403,0.015349191367953135,0.0020000000000000013,0.0009999999999999985,0.013248845316738403,0.0009999999999999985,0.013235596471421664,0.000986751154683261,1.0
NumPy density matrix,Sensor-only,35,1.0,1.0,0.19574486429346016,0.06089000575796611,0.03518163726977736,0.012534650543774669,0.013797815776218216,0.017554900980541608,0.002000000000000002,0.0010000000000000002,0.013797815776218216,0.0010000000000000002,0.013784017960442006,0.0009862021842237812,1.0000000000000002
NumPy density matrix,Sensor-only,36,1.0,1.0,0.20740689679419852,0.066634446581534,0.03742708947755579,0.012705101911624331,0.01437719199685368,0.020024818297609517,0.0019999999999999996,0.0009999999999999994,0.01437719199685368,0.0009999999999999994,0.014362814804856822,0.0009856228080031464,1.0
NumPy density matrix,Sensor-only,37,1.0,1.0,0.21929638392072365,0.07258902939584073,0.03982106119431268,0.012885251758694127,0.014988684954698423,0.022767014217034826,0.0019999999999999996,0.001,0.014988684954698423,0.001,0.01497369626974372,0.000985011315045301,0.9999999999999998
NumPy density matrix,Sensor-only,38,1.0,1.0,0.23140116035298422,0.07874429139100592,0.04236584930587216,0.013075507935657626,0.01563404480604643,0.025787844799087346,0.002,0.001,0.01563404480604643,0.001,0.01561841076124038,0.0009843659551939533,0.9999999999999998
NumPy density matrix,Sensor-only,39,1.0,1.0,0.24370886710124318,0.08509061605221908,0.04506331712797773,0.013276266441095613,0.016315052454721528,0.029091832646649725,0.002,0.0009999999999999992,0.016315052454721528,0.0009999999999999992,0.016298737402266818,0.000983684947545278,0.9999999999999993
NumPy density matrix,Sensor-only,40,1.0,1.0,0.2562069653322046,0.09161825481475792,0.04791487761831737,0.013487909411794747,0.017033510569945905,0.03268157308291575,0.0019999999999999996,0.0009999999999999994,0.017033510569945905,0.0009999999999999994,0.01701647705937596,0.0009829664894300536,0.9999999999999992
NumPy density matrix,Sensor-only,41,1.0,1.0,0.2688827503349182,0.09831734818154259,0.0509214786873357,0.013710803440990118,0.01779123412464436,0.03655766708191953,0.001999999999999999,0.0009999999999999998,0.01779123412464436,0.0009999999999999998,0.01777344289051971,0.0009822087658753554,0.9999999999999992
